Datetime,Water Level (m)
2023-11-21 00:00:00,-0.15151103
2023-11-21 01:00:00,0.070571646
2023-11-21 02:00:00,0.3378791
2023-11-21 03:00:00,0.61812603
2023-11-21 04:00:00,0.72334474
2023-11-21 05:00:00,0.7110024
2023-11-21 06:00:00,0.55763006
2023-11-21 07:00:00,0.34214035
2023-11-21 08:00:00,0.11233963
2023-11-21 09:00:00,-0.11483207
2023-11-21 10:00:00,-0.2885293
2023-11-21 11:00:00,-0.43428794
2023-11-21 12:00:00,-0.54432553
2023-11-21 13:00:00,-0.47929654
2023-11-21 14:00:00,-0.08316505
2023-11-21 15:00:00,0.18790114
2023-11-21 16:00:00,0.50314784
2023-11-21 17:00:00,0.69209605
2023-11-21 18:00:00,0.693012
2023-11-21 19:00:00,0.5389366
2023-11-21 20:00:00,0.3234712
2023-11-21 21:00:00,0.107586816
2023-11-21 22:00:00,-0.10051375
2023-11-21 23:00:00,-0.258211
2023-11-22 00:00:00,-0.38172045
2023-11-22 01:00:00,-0.38915652
2023-11-22 02:00:00,-0.06965035
2023-11-22 03:00:00,0.2197729
2023-11-22 04:00:00,0.5291099
2023-11-22 05:00:00,0.7674214
2023-11-22 06:00:00,0.79589283
2023-11-22 07:00:00,0.66145784
2023-11-22 08:00:00,0.43372497
2023-11-22 09:00:00,0.2071443
2023-11-22 10:00:00,-0.023758853
2023-11-22 11:00:00,-0.20503896
2023-11-22 12:00:00,-0.36637887
2023-11-22 13:00:00,-0.49796784
2023-11-22 14:00:00,-0.5032817
2023-11-22 15:00:00,-0.085386194
2023-11-22 16:00:00,0.22764722
2023-11-22 17:00:00,0.55952245
2023-11-22 18:00:00,0.80281556
2023-11-22 19:00:00,0.8258799
2023-11-22 20:00:00,0.6784946
2023-11-22 21:00:00,0.4443465
2023-11-22 22:00:00,0.21892597
2023-11-22 23:00:00,-0.007056394
2023-11-23 00:00:00,-0.18278416
2023-11-23 01:00:00,-0.3344016
2023-11-23 02:00:00,-0.42446625
2023-11-23 03:00:00,-0.21459982
2023-11-23 04:00:00,0.15248701
2023-11-23 05:00:00,0.45838466
2023-11-23 06:00:00,0.76077557
2023-11-23 07:00:00,0.8410523
2023-11-23 08:00:00,0.7228935
2023-11-23 09:00:00,0.4857697
2023-11-23 10:00:00,0.25157705
2023-11-23 11:00:00,0.014805905
2023-11-23 12:00:00,-0.17635332
2023-11-23 13:00:00,-0.34400144
2023-11-23 14:00:00,-0.4819313
2023-11-23 15:00:00,-0.45828408
2023-11-23 16:00:00,0.018416967
2023-11-23 17:00:00,0.3385231
2023-11-23 18:00:00,0.71197385
2023-11-23 19:00:00,0.95552677
2023-11-23 20:00:00,0.97678113
2023-11-23 21:00:00,0.8085315
2023-11-23 22:00:00,0.550516
2023-11-23 23:00:00,0.30970436
2023-11-24 00:00:00,0.062244363
2023-11-24 01:00:00,-0.1269205
2023-11-24 02:00:00,-0.28921732
2023-11-24 03:00:00,-0.3999194
2023-11-24 04:00:00,-0.18226211
2023-11-24 05:00:00,0.23054428
2023-11-24 06:00:00,0.5332308
2023-11-24 07:00:00,0.83659315
2023-11-24 08:00:00,0.8905713
2023-11-24 09:00:00,0.74297565
2023-11-24 10:00:00,0.49201593
2023-11-24 11:00:00,0.25309956
2023-11-24 12:00:00,0.014509513
2023-11-24 13:00:00,-0.17402317
2023-11-24 14:00:00,-0.34277767
2023-11-24 15:00:00,-0.4770601
2023-11-24 16:00:00,-0.3624919
2023-11-24 17:00:00,0.15464689
2023-11-24 18:00:00,0.49747157
2023-11-24 19:00:00,0.9064297
2023-11-24 20:00:00,1.1068673
2023-11-24 21:00:00,1.0938382
2023-11-24 22:00:00,0.8644552
2023-11-24 23:00:00,0.59454954
2023-11-25 00:00:00,0.33463836
2023-11-25 01:00:00,0.07806712
2023-11-25 02:00:00,-0.110875964
2023-11-25 03:00:00,-0.2782395
2023-11-25 04:00:00,-0.39483935
2023-11-25 05:00:00,-0.11630091
2023-11-25 06:00:00,0.29883242
2023-11-25 07:00:00,0.6115815
2023-11-25 08:00:00,0.88657594
2023-11-25 09:00:00,0.8877645
2023-11-25 10:00:00,0.6987122
2023-11-25 11:00:00,0.44774503
2023-11-25 12:00:00,0.20344965
2023-11-25 13:00:00,-0.027232172
2023-11-25 14:00:00,-0.2104612
2023-11-25 15:00:00,-0.37871534
2023-11-25 16:00:00,-0.4945923
2023-11-25 17:00:00,-0.20471886
2023-11-25 18:00:00,0.2884397
2023-11-25 19:00:00,0.66419196
2023-11-25 20:00:00,1.0598409
2023-11-25 21:00:00,1.1949428
2023-11-25 22:00:00,1.1110786
2023-11-25 23:00:00,0.8276082
2023-11-26 00:00:00,0.56469095
2023-11-26 01:00:00,0.28865385
2023-11-26 02:00:00,0.041755833
2023-11-26 03:00:00,-0.14175797
2023-11-26 04:00:00,-0.31019875
2023-11-26 05:00:00,-0.41414702
2023-11-26 06:00:00,-0.027850633
2023-11-26 07:00:00,0.3564071
2023-11-26 08:00:00,0.66766876
2023-11-26 09:00:00,0.89140356
2023-11-26 10:00:00,0.83003485
2023-11-26 11:00:00,0.60677415
2023-11-26 12:00:00,0.3606095
2023-11-26 13:00:00,0.11484063
2023-11-26 14:00:00,-0.09704385
2023-11-26 15:00:00,-0.27404398
2023-11-26 16:00:00,-0.43266454
2023-11-26 17:00:00,-0.49550867
2023-11-26 18:00:00,0.0044116867
2023-11-26 19:00:00,0.41325694
2023-11-26 20:00:00,0.8384928
2023-11-26 21:00:00,1.1720592
2023-11-26 22:00:00,1.2405589
2023-11-26 23:00:00,1.0677543
2023-11-27 00:00:00,0.76667815
